,country,iso_code,totalCases,totalNewCases,new_cases_per_hundred_thousand_pop,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
24,Central African Republic,CAF,2964,604,12.50578703,0.929422524,0.690209081,0.999997211,4829764,0.00027,0.00016,0.0006
25,Chad,TCD,839,7,0.042615732,0.695714655,0.135527398,0.999963929,16425859,0.0000012,0.00000053,0.00001
26,Chile,CHL,298356,30791,161.0727315,0.564635853,0.144530383,0.976863,19116209,0.0057,0.0021,0.037
27,China,CHN,84837,153,0.010629992,0.942200799,0.248002341,1,1439323774,0.00000023,0.00000013,0.0000014
28,Colombia,COL,120236,31690,62.28027484,0.288215189,0.253670045,0.324480526,50882884,0.0043,0.0024,0.0082
29,Congo - Brazzaville,COG,1414,312,5.654128275,0.76078665,0.50694675,0.99228618,5518092,0.00015,0.000071,0.00037
30,Congo - Kinshasa,COD,7418,880,0.982566106,0.934807251,0.705068623,0.99998798,89561404,0.000021,0.000012,0.000046
31,Costa Rica,CRI,4508,2262,44.40418883,0.966054931,0.832111423,1,5094114,0.00092,0.00056,0.0018
32,Côte d’Ivoire,CIV,10643,2227,8.442553579,0.985910659,0.929017379,1,26378275,0.00017,0.00011,0.0003
33,Croatia,HRV,3014,596,14.51793159,0.879218462,0.643887993,0.999288162,4105268,0.00033,0.00018,0.00075
34,Cuba,CUB,2332,50,0.441438114,0.855867718,0.425611056,0.999999724,11326616,0.00001,0.0000055,0.000035
35,Cyprus,CYP,858,10,0.828252693,0.832617489,0.441917304,0.999773872,1207361,0.00002,0.00001,0.000062
36,Czechia,CZE,12352,1268,11.84052789,0.955924144,0.800148756,0.999999953,10708982,0.00025,0.00015,0.00049
37,Denmark,DNK,12847,203,3.50471142,0.843804897,0.581514948,0.995464222,5792203,0.000083,0.000044,0.0002
38,Djibouti,DJI,3689,179,18.11737223,0.927297566,0.733782119,0.999997,988002,0.00039,0.00023,0.00082
39,Dominican Republic,DOM,38123,7509,69.22074532,0.872954899,0.729183131,0.990622164,10847904,0.0016,0.00087,0.0032
40,Ecuador,ECU,66357,7806,44.2440257,0.345918552,0.287025501,0.412640468,17643060,0.0026,0.0013,0.0051
41,Egypt,EGY,76173,12299,12.01844115,0.240289965,0.198517972,0.285769497,102334403,0.001,0.00053,0.002
42,El Salvador,SLV,7863,2093,32.26850355,0.335729354,0.22821293,0.449474758,6486201,0.0019,0.0009,0.0047
43,Equatorial Guinea,GNQ,2632,1070,76.2659615,0.962366402,0.656083699,1,1402985,0.0016,0.00095,0.0039
44,Estonia,EST,1727,8,0.60307311,0.597591275,0.293766794,0.980853968,1326539,0.00002,0.0000077,0.000068
